t,cov_v_theory,cov_v_sim
1.855,0.049101989738299004,0.055603515506593516
1.856,0.04905291229137395,0.05589197332363847
1.857,0.049003883897365284,0.05580309201903178
1.858,0.04895490450724459,0.05589968270498957
1.859,0.04890597407203249,0.056087238635995046
1.86,0.04885709254279853,0.05618816186190078
1.861,0.0488082598706612,0.056520271118248866
1.862,0.04875947600678779,0.05653093469533989
1.863,0.04871074090239446,0.056370676380928575
1.864,0.04866205450874608,0.05629601840927636
1.865,0.04861341677715628,0.05676494926953888
1.866,0.0485648276589873,0.05747685572523945
1.867,0.04851628710565003,0.05734194637787828
1.868,0.04846779506860391,0.056975726525060916
1.869,0.04841935149935689,0.05688211373783961
1.87,0.0483709563494654,0.0569122486721395
1.871,0.0483226095705343,0.0566247382301516
1.872,0.048274311114216796,0.05662370336025316
1.873,0.04822606093221444,0.056864962513256366
1.874,0.048177858976277015,0.056553728493017236
1.875,0.048129705198202595,0.05643858763132793
1.8760000000000001,0.04808159954983737,0.05667243186984458
1.877,0.04803354198307572,0.05622173995449148
1.8780000000000001,0.04798553244986004,0.056407942947837644
1.879,0.04793757090218082,0.05654715183361184
1.8800000000000001,0.04788965729207649,0.056761565158885335
1.881,0.04784179157163345,0.05642765966758173
1.8820000000000001,0.04779397369298596,0.056290912220439956
1.883,0.04774620360831615,0.056083356037869396
1.8840000000000001,0.047698481269853925,0.05601681417589587
1.885,0.047650806629876946,0.05590872226172754
1.8860000000000001,0.04760317964071056,0.05627733005488858
1.887,0.0475556002547278,0.05665821808953825
1.8880000000000001,0.047508068424349244,0.05726517648129517
1.889,0.047460584102043075,0.05720208940507605
1.8900000000000001,0.047413147240324964,0.057863637584876094
1.891,0.04736575779175805,0.057540433108179405
1.8920000000000001,0.04731841570895285,0.05772816715915604
1.893,0.047271120944567334,0.05787944629632137
1.8940000000000001,0.047223873451306686,0.0576090303003166
1.895,0.04717667318192343,0.05770608395474012
1.8960000000000001,0.047129520089217274,0.05740207547945839
1.897,0.04708241412603515,0.05745662041691145
1.8980000000000001,0.04703535524527106,0.05746426117347559
1.899,0.046988343399866156,0.057346467468648396
1.9000000000000001,0.046941378542808554,0.05698486205457783
1.901,0.046894460627133414,0.0568814185065193
1.9020000000000001,0.0468475896059228,0.05705829760096996
1.903,0.046800765432305706,0.05691160259654476
1.9040000000000001,0.046753988059457935,0.05734923675997936
1.905,0.04670725744060212,0.057397761839049946
1.9060000000000001,0.04666057352900763,0.05712988530916483
1.907,0.046613936277990584,0.0569771072648492
