lambda,x
0.8210000000000001,0.4552584007799423
0.8220000000000001,0.81357101464686
0.8220000000000001,0.4543764916090629
0.8230000000000001,0.814233941148607
0.8230000000000001,0.4534999265795935
0.8240000000000001,0.8148919146186825
0.8240000000000001,0.4526286328704145
0.8250000000000001,0.8155450055413177
0.8250000000000001,0.45176253934379756
0.8260000000000001,0.8161932827740297
0.8260000000000001,0.45090157649033563
0.8270000000000001,0.8168368136003635
0.8270000000000001,0.4500456763762008
0.8280000000000001,0.8174756637804468
0.8280000000000001,0.44919477259258145
0.8290000000000001,0.818109897599454
0.8290000000000001,0.44834880020721785
0.8300000000000001,0.8187395779141015
0.8300000000000001,0.44750769571789467
0.8310000000000001,0.819364766197245
0.8310000000000001,0.4466713970078536
0.8320000000000001,0.8199855225807167
0.8320000000000001,0.4458398433029286
0.833,0.8206019215225986
0.833,0.4450129405621067
0.834,0.8266322961766525
0.834,0.43211155203016166
0.834,0.8151035296298251
0.834,0.4576582875911079
0.835,0.8298510840863277
0.835,0.4253857764684977
0.835,0.812164529303868
0.835,0.4646325939864842
0.836,0.8322300773000303
0.836,0.4205068449613074
0.836,0.8100655428649426
0.836,0.4697593203483793
0.837,0.8342134825459533
0.837,0.4164941048300481
0.837,0.8083623577325554
0.837,0.47401912099449967
0.838,0.8359528322217588
0.838,0.4130135640310782
0.838,0.8069034357034759
0.838,0.47774598961680015
0.839,0.8375218015698158
0.839,0.4099030831113992
0.839,0.8056150957763643
0.839,0.4811020673255496
0.84,0.8389628668931081
0.84,0.40706932381759203
0.84,0.8044548559357315
0.84,0.4841806940401935
0.841,0.8403031836786968
0.841,0.4044527036083496
0.841,0.8033955550283353
0.841,0.48704145397663107
0.842,0.8415613727386472
0.842,0.40201242731413817
0.842,0.8024185666221115
0.842,0.48972514398735856
0.843,0.842750868720375
0.843,0.39971910596557614
0.843,0.8015104504956793
0.843,0.49226115473290194
0.844,0.8438817468152565
0.844,0.39755073269572455
0.844,0.8006611259295829
0.844,0.4946714947793326
0.845,0.844961796449101
0.845,0.39549031896881653
0.845,0.7998627980156641
0.845,0.49697315436935374
0.846,0.8459971899374925
0.846,0.3935244234313401
0.846,0.7991092890015633
0.846,0.49917957657102663
0.847,0.846992918610861
0.847,0.391642192966835
0.847,0.7983956021654887
0.847,0.5013016162227901
0.848,0.8479530882574426
0.848,0.38983471348620236
0.848,0.7977176263730917
0.848,0.5033481891429662
0.849,0.8488811256969806
0.849,0.38809455628388567
0.849,0.7970719295035995
0.849,0.5053267257733961
0.85,0.8497799271448199
0.85,0.3864154524282126
0.85,0.7964556100855504
0.85,0.507243496788919
0.851,0.8506519672542502
0.851,0.38479205359951985
0.851,0.7958661882542787
0.851,0.5091038522590647
0.852,0.8514993808802722
0.852,0.38321975287048
0.852,0.7953015239879722
0.852,0.5109124008675506
0.853,0.8523240254756612
0.853,0.38169454802461356
0.853,0.7947597547114305
0.853,0.5126731465935928
0.854,0.853127529452759
0.854,0.3802129356840166
0.854,0.7942392469340919
0.854,0.5143895945840026
0.855,0.8539113301901758
0.855,0.3787718281584541
0.855,0.7937385582431489
0.855,0.5160648343039203
0.856,0.8546767042747055
0.856,0.37736848732386613
0.856,0.7932564070614463
0.856,0.5177016056581347
0.857,0.8554247918357198
0.857,0.3760004714507321
0.857,0.7927916483128961
0.857,0.519302352162556
0.858,0.8561566163257587
0.858,0.3746655920099737
0.858,0.7923432536417012
0.858,0.5208692641381314
0.859,0.858189173018281
0.859,0.37016013155449295
0.859,0.7885227454049591
0.859,0.5296314789392158
0.859,0.8552807452782837
0.859,0.37722722998441727
0.859,0.7958931781481104
0.859,0.5138314211995669
0.86,0.8598124967522345
0.86,0.36662850406115577
0.86,0.7856071507059132
0.86,0.5364275035649488
0.86,0.8543746054745396
0.86,0.3798643268759059
0.86,0.7994727664069132
0.86,0.506647038401308
0.861,0.8609856613666271
0.861,0.36418183290104317
0.861,0.7838049201542451
0.861,0.5408529346137045
0.861,0.8539185336511786
0.861,0.3814124075794171
0.861,0.8019360656554917
0.861,0.5018370375444496
0.862,0.8619819370528552
0.862,0.3621582872858881
0.862,0.7824315471184609
0.862,0.5443698538569126
0.862,0.8536391641241422
0.862,0.3825335138559713
