x,y
-99,-58
1,29
7,-40
-47,-11
59,7
-130,-9
-89,-8
111,17
-97,-12
-46,70
68,55
-25,13
-34,44
12,-69
-96,-11
10,-30
-45,34
69,56
-127,1
-43,80
105,15
-57,-84
-53,66
-100,-9
-40,5
-67,-12
7,-63
66,23
-134,-2
86,1
-131,3
-90,4
-56,-83
-30,55
-98,0
-65,-52
55,13
8,-62
-62,-41
-89,5
-46,83
61,29
-39,91
-47,87
73,3
-61,-77
39,10
-57,73
-65,69
3,-56
-92,-28
-51,-27
14,-47
-81,-19
93,17
-50,54
-57,-71
-51,9
95,63
15,-46
87,59
-7,15
59,-3
-117,0
57,36
-37,29
-105,-26
76,49
-51,94
69,10
-62,-28
-3,21
112,8
-100,-55
73,16
-115,-35
-124,-4
51,-3
-112,-30
3,-43
-51,-14
14,-34
107,14
4,38
45,39
-50,67
-90,-6
-38,41
-37,6
-119,-33
-132,-3
68,22
-25,-20
-66,-58
-120,-29
46,40
11,-67
58,14
-105,-13
68,58
101,55
31,-4
-63,-11
10,-27
-52,-1
-52,-2
-62,70
32,-3
-110,-7
-91,6
-90,-29
24,-7
17,-46
87,49
7,-60
-108,-41
6,-56
-89,-28
-90,7
-62,-74
17,-10
57,26
97,62
-86,-23
-5,51
-34,24
-48,89
-22,-2
79,50
98,63
-63,-34
10,-50
-4,52
2,-54
-93,-26
-52,-25
62,-3
60,36
12,-4
13,-39
-43,60
3,-53
-11,12
75,52
-58,-63
-101,-25
-82,-12
-109,-29
5,-44
72,46
65,7
-117,-33
16,2
56,38
-38,31
9,-37
-52,96
68,12
-7,18
-40,70
67,53
92,-3
57,39
70,58
-96,-54
-4,29
42,-4
-12,25
61,9
12,-27
71,59
-125,4
103,11
-59,-51
114,20
-67,-55
13,-26
-43,73
72,23
-98,-43
2,44
-26,-18
-101,-12
5,-31
-62,-84
-97,-42
9,-24
-99,-3
-48,79
-36,53
-63,-44
91,14
10,-60
83,10
101,58
-106,-6
94,19
-59,-74
20,-10
-35,54
-1,51
-91,-27
84,11
-79,-16
-59,-38
95,20
-110,-4
45,19
-3,-58
-63,77
76,6
113,10
-2,-57
97,65
58,-6
70,48
-64,-32
-53,-23
79,53
-83,-9
71,49
-23,5
-63,-31
84,-12
-60,-26
-59,-61
-113,-32
114,10
60,39
-53,98
-52,63
-41,72
-40,37
66,55
-97,-52
-130,0
3,35
-51,64
55,45
-12,-8
47,41
67,56
11,-25
70,61
-64,-19
-23,-18
-31,-22
-8,-2
-94,-42
-56,70
-45,79
-92,4
-58,-83
-67,-52
-41,49
-88,-26
44,44
45,9
-69,-13
46,-26
56,18
-98,-40
2,47
-5,8
-40,50
26,-5
86,46
79,7
97,55
-16,-1
71,3
89,51
90,16
-63,-77
-4,9
-99,0
-46,92
-107,-4
-87,-26
40,15
60,-7
52,-11
4,-51
-23,-5
63,35
-45,56
75,9
116,10
-20,0
-59,-71
41,16
1,-57
-81,-10
13,-46
-2,54
-110,-37
45,-14
56,-5
-44,57
14,-1
15,-37
-122,-6
-50,99
-57,-26
-5,21
82,-11
8,-40
-48,59
113,13
-7,60
-54,-15
-95,-53
5,34
-24,7
9,41
-126,-4
69,55
-106,-26
-60,-59
-6,61
-94,-52
33,-11
-50,-9
-44,34
-53,65
14,-25
-29,50
86,0
78,-4
51,42
-65,-53
-51,31
109,20
55,12
15,-24
1,41
67,23
99,55
79,-3
-64,-52
82,2
-66,-13
-60,-82
-95,-40
5,47
11,-22
92,52
-43,7
-23,-15
-81,-20
-61,-42
-1,44
93,16
85,12
45,-24
-103,-39
-57,-72
22,-8
-41,52
15,-47
86,13
78,9
-57,-36
70,5
55,25
-53,-66
1,54
88,59
8,-50
71,6
-104,-26
6,25
52,-8
44,-12
-115,-36
-124,-5
3,-44
-53,55
-61,-29
-42,70
-131,-8
-111,-30
-119,-34
47,-1
59,9
-97,-10
-37,41
82,-8
-14,24
-13,-11
-54,-12
-62,-16
-21,-15
-49,66
-1,-1
-2,-1
-1,-2
-96,-9
-57,62
50,45
104,16
69,58
54,15
-41,6
-54,73
-29,17
85,2
-123,-27
-31,56
3,-31
-51,-1
-51,-2
-40,7
-28,-19
86,3
18,-52
-89,-29
-56,-81
-86,-24
47,11
-66,-46
-6,5
99,58
100,23
-22,-3
-62,-39
-3,10
58,26
42,18
61,31
73,5
-21,-1
-21,-2
-61,-75
44,-22
31,8
-51,-25
-100,-30
74,6
32,9
4,27
-57,-69
43,18
-38,30
87,61
47,-12
-55,-23
-108,-29
-117,2
9,-2
-51,96
69,12
-93,-50
-6,18
112,10
58,39
2,-42
61,44
-92,-49
14,-68
73,18
114,19
-115,-33
-43,72
-9,-15
-124,-2
43,-5
-11,24
-51,-12
-59,-16
-48,-7
72,58
45,41
-90,-4
-38,43
-25,-18
-3,0
90,48
-93,-37
-47,79
-13,-8
-35,53
-63,-9
-52,0
54,18
95,19
-58,-74
-43,85
-42,50
-82,-23
16,-9
96,20
-58,-38
87,51
88,16
99,25
-62,-72
-1,-58
97,64
58,-7
50,-11
-5,53
-48,91
-22,0
79,52
98,65
-83,-10
90,61
-92,-59
54,-5
-59,-62
-47,92
114,9
12,-2
51,-11
75,54
-59,-26
-101,-23
-117,-31
56,40
-97,-53
9,-35
-51,63
68,14
-52,98
6,-41
58,6
110,16
-12,27
-93,-47
48,41
-95,-8
-35,43
31,-12
-52,-10
-11,-9
-60,-14
14,-65
-67,-53
-94,-7
-54,66
106,18
52,47
-55,-79
-91,-1
56,17
9,-58
-27,19
-32,53
99,15
-68,-13
-62,-82
98,19
3,47
49,14
89,50
68,27
42,-25
-107,-5
19,-9
98,55
-83,-20
-63,-42
42,11
-72,-11
82,47
101,60
-60,-37
-59,-72
41,15
-1,53
72,2
84,13
-19,0
-80,-10
-110,-2
85,57
5,-52
64,34
-3,-56
56,30
57,-5
76,8
49,-9
-51,53
68,4
-40,62
-39,27
-48,58
86,58
59,41
6,-51
-12,17
-47,59
-114,-31
-83,-7
13,-70
63,47
-125,-4
-133,-8
-59,-59
45,-2
45,-1
64,11
10,40
-98,-51
2,36
109,19
-27,9
-49,-10
79,-4
-57,-14
3,37
-65,-18
-64,-53
-118,-24
-12,-6
-48,71
0,-32
-95,-41
-36,45
5,46
11,-23
70,63
75,-1
48,44
-106,-14
75,-2
-95,-5
33,1
6,47
12,-22
-1,43
44,10
-2,43
45,-25
-137,-1
16,-52
22,-9
-41,51
-80,-20
93,51
-88,-24
85,47
46,-24
97,21
-44,82
-5,10
-60,74
98,22
89,53
90,18
-63,-75
-107,-2
-107,-1
41,-18
-95,-28
-35,23
6,24
-49,88
-91,-58
-45,58
-59,-69
53,-8
-1,56
-2,56
-9,17
-123,-5
-90,-57
56,-3
-103,-27
-44,59
7,-39
66,47
59,8
-65,-28
-64,-63
82,-9
55,37
-39,30
-107,-25
8,-38
-54,-13
-95,-51
92,41
-96,-10
58,48
-63,-62
83,-8
-60,-57
-94,-50
13,-67
44,0
-50,-7
-52,32
-40,6
-28,-20
86,2
-68,-56
-42,82
51,44
97,11
-56,-82
-122,-27
55,14
-99,-44
-39,7
47,10
1,43
67,25
88,48
-28,16
8,-61
19,-52
-46,84
-66,-11
-60,-80
40,7
-33,23
-95,-38
92,54
44,-23
-65,70
-93,8
62,31
-92,-27
-81,-18
93,18
85,14
32,8
-64,71
-112,-6
-4,-58
-41,54
87,60
7,-49
-55,-24
78,11
76,50
96,65
-53,-64
-107,-35
5,26
-62,-27
112,9
58,38
69,47
115,14
62,8
80,56
-92,-50
-116,1
44,-10
-115,-34
-9,-16
10,-3
73,53
15,-68
-42,72
-123,-1
-58,-16
-99,-54
-48,28
-47,-7
59,11
-62,-50
-37,43
-105,-12
40,-3
-14,26
5,39
-10,-4
104,18
-104,-11
-63,-10
50,47
69,60
-93,-1
-93,-2
92,42
102,57
54,17
-32,-23
-41,8
-61,-50
-62,71
-69,-54
32,-2
32,-1
-57,-80
14,-20
-40,9
-67,-8
88,15
47,-23
7,-59
99,24
-89,-27
-38,55
-86,-22
-107,-45
-34,25
80,10
-61,71
100,25
99,60
-108,-4
98,64
10,-49
-85,-21
-93,-25
-74,-12
73,7
-61,-73
39,14
-43,61
43,-16
3,-52
-59,-27
74,8
-67,-31
13,-2
-42,62
4,29
72,47
-50,58
-58,-26
-55,-21
6,-42
-62,-60
92,-2
-96,-53
76,53
-51,98
68,49
-120,-2
7,39
-47,68
-116,-32
-10,-14
71,60
10,-36
-52,-11
14,-66
114,21
-54,65
93,-1
-102,-12
-43,74
-123,-35
-91,-3
-112,-26
43,-3
35,-7
1,0
-48,-5
107,18
45,43
-62,-83
-98,-6
-38,45
77,-5
68,26
-62,-47
92,11
-96,-40
98,54
-105,-9
10,-59
-45,5
42,10
-58,72
61,23
-106,-5
-47,81
-61,-83
-43,51
83,47
102,60
-79,-15
-58,-72
-82,-21
-110,-3
56,29
-109,-2
-109,-1
86,57
