x,y
6.0,109.0
-29.0,-141.0
-10.0,-128.0
-24.0,-63.0
-74.0,116.0
108.0,93.0
-6.0,-9.0
-61.0,55.0
-8.0,-82.0
85.0,109.0
57.0,47.0
117.0,98.0
-31.0,-66.0
43.0,-117.0
-4.0,37.0
-18.0,-127.0
-128.0,1.0
-13.0,-12.0
-142.0,103.0
6.0,1.0
59.0,93.0
78.0,106.0
-29.0,-20.0
-65.0,57.0
94.0,50.0
-6.0,-117.0
66.0,-12.0
11.0,52.0
38.0,-74.0
-36.0,-60.0
-91.0,4.0
-31.0,55.0
84.0,42.0
-86.0,119.0
29.0,106.0
1.0,7.0
18.0,-53.0
-82.0,9.0
64.0,63.0
77.0,2.0
-6.0,4.0
-61.0,68.0
-8.0,-69.0
85.0,122.0
-108.0,-7.0
38.0,47.0
-103.0,71.0
-91.0,125.0
24.0,112.0
15.0,63.0
101.0,66.0
68.0,-111.0
73.0,4.0
-98.0,122.0
91.0,58.0
177.0,61.0
-71.0,-4.0
-11.0,10.0
135.0,64.0
-94.0,12.0
80.0,-101.0
-55.0,-60.0
186.0,66.0
-91.0,17.0
-18.0,7.0
-73.0,71.0
-20.0,-103.0
72.0,-100.0
-112.0,79.0
130.0,107.0
-39.0,69.0
-22.0,9.0
-36.0,74.0
-91.0,138.0
-125.0,2.0
21.0,56.0
-32.0,-36.0
-48.0,-44.0
-62.0,58.0
-16.0,-92.0
75.0,63.0
116.0,64.0
-99.0,139.0
-46.0,2.0
28.0,-49.0
5.0,-33.0
-83.0,120.0
63.0,-55.0
21.0,-52.0
-34.0,12.0
7.0,13.0
67.0,64.0
53.0,-100.0
-1.0,-36.0
162.0,72.0
19.0,23.0
-36.0,87.0
165.0,77.0
46.0,-103.0
-97.0,77.0
49.0,-98.0
-84.0,16.0
81.0,83.0
-81.0,21.0
-7.0,-30.0
-48.0,-31.0
48.0,-94.0
-136.0,85.0
-35.0,-92.0
70.0,-39.0
-46.0,15.0
83.0,-100.0
-132.0,-25.0
-88.0,18.0
-14.0,-33.0
13.0,70.0
44.0,-92.0
35.0,88.0
81.0,-25.0
